# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
10900.0 1000 0.001 0.277 0.019 0.530 0.002015 0.001976 0.001995 1.642e+04 6.015e+04 3.829e+04 1.335 -2.324 -0.4943 4.009e+05
11000.0 1000 0.001 0.275 0.019 0.532 0.002015 0.001976 0.001995 1.615e+04 6.062e+04 3.839e+04 1.318 -2.335 -0.5081 4.009e+05
11100.0 1000 0.001 0.272 0.019 0.534 0.002015 0.001976 0.001995 1.589e+04 6.109e+04 3.849e+04 1.301 -2.345 -0.5219 4.009e+05
11200.0 1000 0.001 0.270 0.019 0.536 0.002015 0.001976 0.001995 1.563e+04 6.156e+04 3.86e+04 1.284 -2.356 -0.5358 4.009e+05
11300.0 1000 0.001 0.268 0.019 0.538 0.002015 0.001976 0.001995 1.538e+04 6.203e+04 3.87e+04 1.267 -2.366 -0.5496 4.009e+05
11400.0 1000 0.001 0.266 0.019 0.540 0.002015 0.001976 0.001995 1.513e+04 6.25e+04 3.882e+04 1.25 -2.377 -0.5635 4.009e+05
11500.0 1000 0.001 0.264 0.019 0.542 0.002015 0.001976 0.001995 1.488e+04 6.298e+04 3.893e+04 1.233 -2.388 -0.5773 4.009e+05
11600.0 1000 0.001 0.261 0.019 0.544 0.002015 0.001976 0.001995 1.463e+04 6.346e+04 3.905e+04 1.216 -2.398 -0.5912 4.009e+05
11700.0 1000 0.001 0.259 0.019 0.546 0.002015 0.001976 0.001995 1.439e+04 6.394e+04 3.917e+04 1.199 -2.409 -0.605 4.009e+05
11800.0 1000 0.001 0.257 0.019 0.548 0.002015 0.001976 0.001995 1.415e+04 6.442e+04 3.929e+04 1.182 -2.419 -0.6188 4.009e+05
11900.0 1000 0.001 0.255 0.020 0.550 0.002015 0.001976 0.001995 1.392e+04 6.491e+04 3.941e+04 1.165 -2.43 -0.6327 4.009e+05
12000.0 1000 0.001 0.253 0.020 0.552 0.002015 0.001976 0.001995 1.369e+04 6.54e+04 3.954e+04 1.148 -2.441 -0.6465 4.009e+05
12100.0 1000 0.001 0.251 0.020 0.555 0.002015 0.001976 0.001995 1.346e+04 6.588e+04 3.967e+04 1.13 -2.451 -0.6604 4.009e+05
12200.0 1000 0.000 0.249 0.020 0.557 0.002015 0.001976 0.001995 1.324e+04 6.638e+04 3.981e+04 1.113 -2.462 -0.6742 4.009e+05
12300.0 1000 0.000 0.246 0.020 0.559 0.002015 0.001976 0.001995 1.301e+04 6.687e+04 3.994e+04 1.096 -2.472 -0.688 4.009e+05
12400.0 1000 0.000 0.244 0.020 0.561 0.002015 0.001976 0.001995 1.28e+04 6.736e+04 4.008e+04 1.079 -2.483 -0.7019 4.009e+05
12500.0 1000 0.000 0.242 0.020 0.563 0.002015 0.001976 0.001995 1.258e+04 6.786e+04 4.022e+04 1.062 -2.494 -0.7157 4.009e+05
12600.0 1000 0.000 0.240 0.020 0.565 0.002015 0.001976 0.001995 1.237e+04 6.836e+04 4.037e+04 1.045 -2.504 -0.7296 4.009e+05
12700.0 1000 0.000 0.238 0.020 0.567 0.002015 0.001976 0.001995 1.216e+04 6.886e+04 4.051e+04 1.028 -2.515 -0.7434 4.009e+05
12800.0 1000 0.000 0.236 0.020 0.569 0.002015 0.001976 0.001995 1.196e+04 6.937e+04 4.066e+04 1.011 -2.525 -0.7573 4.009e+05
12900.0 1000 0.000 0.234 0.020 0.571 0.002015 0.001976 0.001995 1.176e+04 6.987e+04 4.082e+04 0.9939 -2.536 -0.7711 4.009e+05
13000.0 1000 -0.000 0.232 0.020 0.573 0.002015 0.001976 0.001995 1.156e+04 7.038e+04 4.097e+04 0.9768 -2.547 -0.7849 4.009e+05
13100.0 1000 -0.000 0.230 0.020 0.575 0.002015 0.001976 0.001995 1.137e+04 7.089e+04 4.113e+04 0.9597 -2.557 -0.7988 4.009e+05
13200.0 1000 -0.000 0.228 0.020 0.577 0.002015 0.001976 0.001995 1.118e+04 7.141e+04 4.129e+04 0.9426 -2.568 -0.8126 4.009e+05
13300.0 1000 -0.000 0.227 0.021 0.579 0.002015 0.001976 0.001995 1.099e+04 7.192e+04 4.146e+04 0.9256 -2.579 -0.8265 4.009e+05
13400.0 1000 -0.000 0.225 0.021 0.581 0.002015 0.001976 0.001995 1.081e+04 7.244e+04 4.162e+04 0.9085 -2.589 -0.8403 4.009e+05
13500.0 1000 -0.000 0.223 0.021 0.584 0.002015 0.001976 0.001995 1.063e+04 7.296e+04 4.179e+04 0.8914 -2.6 -0.8542 4.009e+05
13600.0 1000 -0.000 0.221 0.021 0.586 0.002015 0.001976 0.001995 1.045e+04 7.348e+04 4.196e+04 0.8743 -2.61 -0.868 4.009e+05
13700.0 1000 -0.000 0.219 0.021 0.588 0.002015 0.001976 0.001995 1.028e+04 7.4e+04 4.214e+04 0.8573 -2.621 -0.8818 4.009e+05
13800.0 1000 -0.001 0.217 0.021 0.590 0.002015 0.001976 0.001995 1.011e+04 7.452e+04 4.232e+04 0.8402 -2.632 -0.8957 4.009e+05
13900.0 1000 -0.001 0.215 0.021 0.592 0.002015 0.001976 0.001995 9944 7.505e+04 4.25e+04 0.8231 -2.642 -0.9095 4.009e+05
14000.0 1000 -0.001 0.214 0.021 0.594 0.002015 0.001976 0.001995 9781 7.558e+04 4.268e+04 0.806 -2.653 -0.9234 4.009e+05
14100.0 1000 -0.001 0.212 0.021 0.596 0.002015 0.001976 0.001995 9621 7.611e+04 4.287e+04 0.789 -2.663 -0.9372 4.009e+05
14200.0 1000 -0.001 0.210 0.021 0.598 0.002015 0.001976 0.001995 9465 7.665e+04 4.306e+04 0.7719 -2.674 -0.9511 4.009e+05
14300.0 1000 -0.001 0.208 0.021 0.600 0.002015 0.001976 0.001995 9312 7.718e+04 4.325e+04 0.7548 -2.685 -0.9649 4.009e+05
14400.0 1000 -0.001 0.207 0.021 0.602 0.002015 0.001976 0.001995 9163 7.772e+04 4.344e+04 0.7377 -2.695 -0.9787 4.009e+05
14500.0 1000 -0.001 0.205 0.021 0.604 0.002015 0.001976 0.001995 9017 7.826e+04 4.364e+04 0.7207 -2.706 -0.9926 4.009e+05
14600.0 1000 -0.001 0.204 0.021 0.606 0.002015 0.001976 0.001995 8875 7.88e+04 4.384e+04 0.7036 -2.716 -1.006 4.009e+05
14700.0 1000 -0.001 0.202 0.022 0.609 0.002015 0.001976 0.001995 8736 7.935e+04 4.404e+04 0.6865 -2.727 -1.02 4.009e+05
14800.0 1000 -0.001 0.200 0.022 0.611 0.002015 0.001976 0.001995 8600 7.989e+04 4.425e+04 0.6694 -2.738 -1.034 4.009e+05
14900.0 1000 -0.001 0.199 0.022 0.613 0.002015 0.001976 0.001995 8468 8.044e+04 4.446e+04 0.6523 -2.748 -1.048 4.009e+05
15000.0 1000 -0.001 0.197 0.022 0.615 0.002015 0.001976 0.001995 8339 8.099e+04 4.467e+04 0.6353 -2.759 -1.062 4.009e+05
15100.0 1000 -0.001 0.196 0.022 0.617 0.002015 0.001976 0.001995 8214 8.155e+04 4.488e+04 0.6182 -2.769 -1.076 4.009e+05
15200.0 1000 -0.001 0.194 0.022 0.619 0.002015 0.001976 0.001995 8092 8.21e+04 4.51e+04 0.6011 -2.78 -1.089 4.009e+05
15300.0 1000 -0.001 0.193 0.022 0.621 0.002015 0.001976 0.001995 7974 8.266e+04 4.532e+04 0.584 -2.791 -1.103 4.009e+05
15400.0 1000 -0.002 0.192 0.022 0.623 0.002015 0.001976 0.001995 7858 8.322e+04 4.554e+04 0.567 -2.801 -1.117 4.009e+05
15500.0 1000 -0.002 0.190 0.022 0.625 0.002015 0.001976 0.001995 7747 8.378e+04 4.576e+04 0.5499 -2.812 -1.131 4.009e+05
15600.0 1000 -0.002 0.189 0.022 0.627 0.002015 0.001976 0.001995 7638 8.434e+04 4.599e+04 0.5328 -2.823 -1.145 4.009e+05
15700.0 1000 -0.002 0.188 0.022 0.630 0.002015 0.001976 0.001995 7534 8.491e+04 4.622e+04 0.5157 -2.833 -1.159 4.009e+05
15800.0 1000 -0.002 0.186 0.022 0.632 0.002015 0.001976 0.001995 7432 8.548e+04 4.645e+04 0.4987 -2.844 -1.173 4.009e+05
15900.0 1000 -0.002 0.185 0.022 0.634 0.002015 0.001976 0.001995 7334 8.605e+04 4.669e+04 0.4816 -2.854 -1.186 4.009e+05
16000.0 1000 -0.002 0.184 0.022 0.636 0.002015 0.001976 0.001995 7240 8.662e+04 4.693e+04 0.4645 -2.865 -1.2 4.009e+05
16100.0 1000 -0.002 0.183 0.022 0.638 0.002015 0.001976 0.001995 7148 8.719e+04 4.717e+04 0.4474 -2.876 -1.214 4.009e+05
16200.0 1000 -0.002 0.182 0.023 0.640 0.002015 0.001976 0.001995 7061 8.777e+04 4.741e+04 0.4304 -2.886 -1.228 4.009e+05
16300.0 1000 -0.002 0.180 0.023 0.642 0.002015 0.001976 0.001995 6976 8.835e+04 4.766e+04 0.4133 -2.897 -1.242 4.009e+05
